chr1	981257	981776	1	1	1	1	0	45
chr1	1254905	1255835	2	2	1	1	0	44
chr1	1255910	1256375	2	2	1	1	0	36
chr1	1309826	1310084	2	2	1	1	0	11
chr1	1342400	1342510	2	2	1	1	0	58
chr1	1653151	1654146	2	2	1	1	0	26
chr1	1671144	1677162	2	2	1	1	0	3
chr1	1736021	1737913	2	2	1	1	0	54
chr1	1737978	1747194	2	2	1	1	0	21
chr1	1749315	1756835	2	2	1	1	0	38
chr1	1756939	1770628	2	2	1	1	0	49
chr1	1770678	1822258	2	2	1	1	0	31
chr1	2327311	2328554	1	1	1	1	0	45
chr1	2328660	2330853	1	1	1	1	0	54
chr1	2330954	2332295	1	1	1	1	0	45
chr1	2333782	2334473	1	1	1	1	0	40
chr1	3697901	3698075	2	2	1	1	0	37
chr1	3700676	3701650	2	2	1	1	0	40
chr1	3750600	3751488	2	2	1	1	0	66
chr1	6246877	6252989	2	2	1	3	0	45
chr1	6253115	6257711	2	2	1	3	0	70
chr1	6257817	6259621	2	2	1	2	0	13
chr1	6537719	6556552	2	2	1	1	0	11
chr1	6556630	6579504	2	2	1	1	0	52
chr1	6642360	6645978	1	1	1	1	0	22
chr1	8025486	8029404	1	1	1	1	0	26
chr1	8029465	8030953	1	1	1	1	0	24
chr1	8031024	8037711	1	1	1	1	0	57
chr1	8037799	8044953	1	1	1	1	0	7
chr1	8421937	8422742	2	2	1	1	0	54
chr1	8422905	8424115	2	2	1	1	0	48
chr1	8426035	8482786	2	2	1	1	0	9
chr1	8482868	8525984	2	2	1	1	0	51
chr1	8526084	8555122	2	2	1	2	0	65
chr1	8921489	8922945	2	2	1	1	0	53
chr1	8923005	8923293	2	2	1	1	0	23
chr1	8923403	8923949	2	2	1	3	0	69
chr1	8924152	8925343	2	2	1	2	0	51
chr1	8925542	8926337	2	2	1	2	0	14
chr1	8926561	8927175	2	2	1	2	0	50
chr1	8927310	8928046	2	2	1	1	0	12
chr1	8928117	8930510	2	2	1	1	0	36
chr1	8930570	8931949	2	2	1	2	0	59
chr1	8932046	8934882	2	2	1	4	0	66
chr1	8934977	8938638	2	2	1	5	0	74
chr1	9811740	9815171	2	2	1	1	0	6
chr1	9815368	9833329	2	2	1	1	0	59
